mentee_subjects,mentee_topics,mentee_competencies,mentee_availability,mentee_difficulty_level,mentee_year_level,mentor_role,mentor_subjects,mentor_topics,mentor_competencies,mentor_availability,mentor_years_experience,mentor_teaching_experience_years,mentor_expertise_level,mentor_year_level,target_score
Introduction to Computing,"Digital Logic & Data Representation, Operating Systems & Architecture, History & Hardware Evolution","Boolean Logic Gates, File Systems & Permissions, Computing Generations, Memory & Storage Types","Sat|09:00-11:00, Fri|18:00-20:00, Wed|13:00-15:00, Thu|15:00-17:00",4,1,Senior IT Student,"Introduction to Computing, Computer Programming","Computer Networks Basics, Digital Logic & Data Representation, Control Structures, Modular Programming, Debugging & Execution","Client-Server Architecture, Boolean Logic Gates, Data Encoding (ASCII/Unicode), Conditional Logic, Variable Scope & Lifetime, Parameters & Return Values","Fri|18:00-20:00, Mon|09:00-11:00, Sat|09:00-11:00, Thu|15:00-17:00",1,0,5,3,0.3979
"Introduction to Computing, Intro to Human Computer Interaction","Digital Logic & Data Representation, HCI Principles & Guidelines, High-Fidelity Design & Documentation, Interaction Design & Cognitive Models","Boolean Logic Gates, Binary/Octal/Hex Conversions, HCI Principles & Paradigms, Guideline Categories of HCI, High-Fidelity Prototyping, Design Systems Documentation","Tue|10:00-12:00, Wed|13:00-15:00, Mon|09:00-11:00",3,1,Senior IT Student,"Introduction to Computing, Intro to Human Computer Interaction","Computer Networks Basics, HCI Principles & Guidelines","Network Topologies, Guideline Categories of HCI, HCI Principles & Paradigms","Mon|09:00-11:00, Thu|15:00-17:00",4,0,3,4,0.5745
Introduction to Computing,"Computer Networks Basics, Digital Logic & Data Representation","Client-Server Architecture, Binary/Octal/Hex Conversions, Data Encoding (ASCII/Unicode)","Thu|15:00-17:00, Sat|09:00-11:00, Fri|18:00-20:00",4,1,Senior IT Student,"Introduction to Computing, Intro to Human Computer Interaction","Operating Systems & Architecture, Computer Networks Basics, History & Hardware Evolution, High-Fidelity Design & Documentation","OS Fundamentals, Client-Server Architecture, Memory & Storage Types, Design Systems Documentation","Thu|15:00-17:00, Sat|09:00-11:00, Fri|18:00-20:00",2,0,3,3,0.4116
"Intro to Human Computer Interaction, IT Fundamentals","User Research & Behavioral Mapping, High-Fidelity Design & Documentation, Prototyping & UI Tooling, Web Styling, Web Markup, Client-Side Scripting","User Research & Analysis, Design Systems Documentation, High-Fidelity Prototyping, Figma UI Design, Wireframe Sketching, Responsive Layouts","Tue|10:00-12:00, Sat|09:00-11:00, Fri|18:00-20:00",2,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction","Client-Side Scripting, Command Line & Web Infra, Web Styling, HCI Principles & Guidelines","DOM Manipulation, JavaScript Syntax, Domain Name System (DNS), Responsive Layouts, System Prototype Proposal","Thu|15:00-17:00, Wed|13:00-15:00",10,5,4,4,0.5198
"Computer Programming, Intro to Human Computer Interaction","Control Structures, HCI Principles & Guidelines, High-Fidelity Design & Documentation","Loop Control, Iteration Patterns, Guideline Categories of HCI, High-Fidelity Prototyping, Design Systems Documentation","Mon|09:00-11:00, Tue|10:00-12:00",3,1,Senior IT Student,"Computer Programming, Intro to Human Computer Interaction","Data Structures, Control Structures, Modular Programming, HCI Principles & Guidelines, User Research & Behavioral Mapping, High-Fidelity Design & Documentation","1D/2D Manipulation, Loop Control, Iteration Patterns, Parameters & Return Values, Guideline Categories of HCI, HCI Principles & Paradigms","Thu|15:00-17:00, Mon|09:00-11:00, Fri|18:00-20:00, Sat|09:00-11:00",2,2,4,4,0.7028
Computer Programming,Debugging & Execution,"Logic Troubleshooting, Console Debugging Techniques","Tue|10:00-12:00, Mon|09:00-11:00, Sat|09:00-11:00, Wed|13:00-15:00",3,1,Senior IT Student,"Computer Programming, IT Fundamentals","Debugging & Execution, Command Line & Web Infra","Console Debugging Techniques, CLI Navigation","Fri|18:00-20:00, Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",3,2,5,3,0.476
"Intro to Human Computer Interaction, Computer Programming","High-Fidelity Design & Documentation, Prototyping & UI Tooling, Data Structures, Debugging & Execution","High-Fidelity Prototyping, Wireframe Sketching, Linear/Binary Searching, Logic Troubleshooting, Syntax Errors","Wed|13:00-15:00, Fri|18:00-20:00, Mon|09:00-11:00",3,1,Senior IT Student,"Intro to Human Computer Interaction, Computer Programming","Prototyping & UI Tooling, Debugging & Execution, Data Structures","Figma UI Design, Design System & Components, Logic Troubleshooting, Console Debugging Techniques, Basic Sorting Algorithms, Array Creation","Fri|18:00-20:00, Thu|15:00-17:00, Tue|10:00-12:00, Wed|13:00-15:00",3,0,5,3,0.6743
IT Fundamentals,Web Markup,HTML5 Semantic Elements,"Mon|09:00-11:00, Fri|18:00-20:00, Tue|10:00-12:00",3,1,Senior IT Student,"IT Fundamentals, Introduction to Computing","Web Styling, Client-Side Scripting, Command Line & Web Infra, Digital Logic & Data Representation, Computer Networks Basics","Flexbox & Grid, DOM Manipulation, Event Listeners, HTTP Request Methods, CLI Navigation, Binary/Octal/Hex Conversions","Fri|18:00-20:00, Thu|15:00-17:00, Sat|09:00-11:00, Tue|10:00-12:00",2,2,4,3,0.3242
"Computer Programming, Intro to Human Computer Interaction","Debugging & Execution, Control Structures, Data Structures, User Research & Behavioral Mapping, High-Fidelity Design & Documentation, HCI Principles & Guidelines","Console Debugging Techniques, Syntax Errors, Loop Control, Iteration Patterns, Array Creation, 1D/2D Manipulation","Thu|15:00-17:00, Sat|09:00-11:00, Wed|13:00-15:00",3,1,Instructor,Computer Programming,Modular Programming,"Parameters & Return Values, Function Definitions","Mon|09:00-11:00, Fri|18:00-20:00, Thu|15:00-17:00",10,3,3,4,0.3015
"IT Fundamentals, Introduction to Computing","Web Markup, Computer Networks Basics, History & Hardware Evolution, Operating Systems & Architecture","HTML5 Semantic Elements, Network Topologies, Processor Architecture, Computing Generations, Process Management","Fri|18:00-20:00, Mon|09:00-11:00, Thu|15:00-17:00, Sat|09:00-11:00",3,1,Senior IT Student,"IT Fundamentals, Intro to Human Computer Interaction","Web Styling, Prototyping & UI Tooling","Responsive Layouts, Flexbox & Grid, Wireframe Sketching","Wed|13:00-15:00, Thu|15:00-17:00",3,1,4,3,0.2126
"IT Fundamentals, Introduction to Computing","Web Styling, Digital Logic & Data Representation, Operating Systems & Architecture, Computer Networks Basics","CSS Selectors, Box Model, Boolean Logic Gates, Data Encoding (ASCII/Unicode), File Systems & Permissions, OSI Model Layers","Thu|15:00-17:00, Wed|13:00-15:00, Fri|18:00-20:00, Tue|10:00-12:00",4,1,Instructor,"IT Fundamentals, Introduction to Computing","Command Line & Web Infra, Web Styling, Client-Side Scripting, Operating Systems & Architecture","HTTP Request Methods, Responsive Layouts, JavaScript Syntax, File Systems & Permissions, OS Fundamentals","Sat|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00, Wed|13:00-15:00",8,2,4,4,0.6385
"Intro to Human Computer Interaction, Computer Programming","User Research & Behavioral Mapping, Debugging & Execution","User Flow Diagrams, Syntax Errors","Sat|09:00-11:00, Thu|15:00-17:00, Fri|18:00-20:00, Tue|10:00-12:00",5,1,Senior IT Student,"Intro to Human Computer Interaction, Introduction to Computing","HCI Principles & Guidelines, Interaction Design & Cognitive Models, Digital Logic & Data Representation","System Prototype Proposal, Guideline Categories of HCI, Human Information Processing, Interaction Design Frameworks, Binary/Octal/Hex Conversions, Boolean Logic Gates","Tue|10:00-12:00, Sat|09:00-11:00, Mon|09:00-11:00",3,0,3,3,0.2264
"Computer Programming, Introduction to Computing","Control Structures, Modular Programming, Data Structures, History & Hardware Evolution, Operating Systems & Architecture","Conditional Logic, Function Definitions, Variable Scope & Lifetime, 1D/2D Manipulation, Processor Architecture, Process Management","Fri|18:00-20:00, Mon|09:00-11:00",2,1,Instructor,"Computer Programming, Introduction to Computing","Data Structures, History & Hardware Evolution, Computer Networks Basics","Array Creation, Computing Generations, Memory & Storage Types, Network Topologies","Fri|18:00-20:00, Mon|09:00-11:00, Sat|09:00-11:00, Tue|10:00-12:00",8,4,4,4,0.6108
Computer Programming,"Debugging & Execution, Data Structures, Control Structures","Syntax Errors, Linear/Binary Searching, Loop Control, Iteration Patterns","Sat|09:00-11:00, Wed|13:00-15:00, Mon|09:00-11:00",4,1,Senior IT Student,"IT Fundamentals, Introduction to Computing","Web Styling, History & Hardware Evolution, Operating Systems & Architecture","Flexbox & Grid, Responsive Layouts, Processor Architecture, File Systems & Permissions","Sat|09:00-11:00, Wed|13:00-15:00",2,1,4,4,0.1858
"Introduction to Computing, Computer Programming","Computer Networks Basics, Control Structures, Debugging & Execution, Modular Programming","Client-Server Architecture, Network Topologies, Conditional Logic, Console Debugging Techniques, Function Definitions, Variable Scope & Lifetime","Tue|10:00-12:00, Wed|13:00-15:00",4,1,Senior IT Student,"Introduction to Computing, Intro to Human Computer Interaction","Computer Networks Basics, Operating Systems & Architecture, Digital Logic & Data Representation, Interaction Design & Cognitive Models","OSI Model Layers, File Systems & Permissions, OS Fundamentals, Data Encoding (ASCII/Unicode), Boolean Logic Gates, Human Information Processing","Sat|09:00-11:00, Tue|10:00-12:00, Thu|15:00-17:00, Wed|13:00-15:00",1,0,3,3,0.3161
"Introduction to Computing, Intro to Human Computer Interaction","History & Hardware Evolution, Computer Networks Basics, HCI Principles & Guidelines","Memory & Storage Types, Network Topologies, System Prototype Proposal","Tue|10:00-12:00, Sat|09:00-11:00, Mon|09:00-11:00, Fri|18:00-20:00",5,1,Senior IT Student,"Introduction to Computing, Computer Programming","Digital Logic & Data Representation, Operating Systems & Architecture, Data Structures, Debugging & Execution, Modular Programming","Boolean Logic Gates, File Systems & Permissions, Process Management, Linear/Binary Searching, Logic Troubleshooting, Syntax Errors","Thu|15:00-17:00, Sat|09:00-11:00, Fri|18:00-20:00",1,1,3,4,0.2388
IT Fundamentals,"Web Styling, Client-Side Scripting, Web Markup","Responsive Layouts, Box Model, DOM Manipulation, Event Listeners, Media & Tables, Forms & Inputs","Wed|13:00-15:00, Tue|10:00-12:00",5,1,Senior IT Student,"IT Fundamentals, Introduction to Computing","Client-Side Scripting, Operating Systems & Architecture, Digital Logic & Data Representation","DOM Manipulation, Event Listeners, Process Management, OS Fundamentals, Binary/Octal/Hex Conversions, Data Encoding (ASCII/Unicode)","Fri|18:00-20:00, Tue|10:00-12:00, Sat|09:00-11:00",3,3,4,4,0.4079
"Introduction to Computing, IT Fundamentals","Computer Networks Basics, Operating Systems & Architecture, Web Markup, Client-Side Scripting, Command Line & Web Infra","Network Topologies, OS Fundamentals, Process Management, Media & Tables, Forms & Inputs, DOM Manipulation","Fri|18:00-20:00, Sat|09:00-11:00",5,1,Senior IT Student,"Introduction to Computing, IT Fundamentals","History & Hardware Evolution, Operating Systems & Architecture, Client-Side Scripting, Command Line & Web Infra","Processor Architecture, Process Management, Event Listeners, DOM Manipulation, HTTP Request Methods, CLI Navigation","Fri|18:00-20:00, Sat|09:00-11:00",3,1,5,3,0.7155
"IT Fundamentals, Introduction to Computing","Command Line & Web Infra, Computer Networks Basics","CLI Navigation, Client-Server Architecture, OSI Model Layers","Thu|15:00-17:00, Tue|10:00-12:00, Fri|18:00-20:00, Sat|09:00-11:00",3,1,Senior IT Student,"IT Fundamentals, Introduction to Computing","Web Styling, Web Markup, Computer Networks Basics, Digital Logic & Data Representation","CSS Selectors, HTML5 Semantic Elements, Client-Server Architecture, Binary/Octal/Hex Conversions","Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",3,0,5,3,0.5451
"Intro to Human Computer Interaction, IT Fundamentals","HCI Principles & Guidelines, Web Markup","Guideline Categories of HCI, HTML5 Semantic Elements","Mon|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00, Tue|10:00-12:00",4,1,Instructor,"Intro to Human Computer Interaction, IT Fundamentals","User Research & Behavioral Mapping, Interaction Design & Cognitive Models, Web Markup, Command Line & Web Infra","User Flow Diagrams, Customer Journey Mapping, Interaction Design Frameworks, Human Information Processing, Media & Tables, Forms & Inputs","Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",14,14,5,4,0.5751
"Intro to Human Computer Interaction, IT Fundamentals","Prototyping & UI Tooling, High-Fidelity Design & Documentation, User Research & Behavioral Mapping, Command Line & Web Infra, Web Markup","Wireframe Sketching, High-Fidelity Prototyping, Design Systems Documentation, User Flow Diagrams, Domain Name System (DNS), CLI Navigation","Thu|15:00-17:00, Sat|09:00-11:00, Mon|09:00-11:00",5,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","Prototyping & UI Tooling, Computer Networks Basics, History & Hardware Evolution, Digital Logic & Data Representation","Figma UI Design, OSI Model Layers, Computing Generations, Binary/Octal/Hex Conversions","Sat|09:00-11:00, Mon|09:00-11:00, Fri|18:00-20:00, Tue|10:00-12:00",5,4,3,4,0.3057
"Computer Programming, IT Fundamentals","Debugging & Execution, Modular Programming, Command Line & Web Infra, Web Markup, Web Styling","Console Debugging Techniques, Variable Scope & Lifetime, HTTP Request Methods, Media & Tables, Responsive Layouts, Flexbox & Grid","Sat|09:00-11:00, Thu|15:00-17:00, Fri|18:00-20:00, Mon|09:00-11:00",3,1,Senior IT Student,"Introduction to Computing, Computer Programming","Digital Logic & Data Representation, Operating Systems & Architecture, History & Hardware Evolution, Debugging & Execution, Data Structures","Binary/Octal/Hex Conversions, Boolean Logic Gates, File Systems & Permissions, OS Fundamentals, Computing Generations, Memory & Storage Types","Mon|09:00-11:00, Fri|18:00-20:00, Thu|15:00-17:00",2,0,3,4,0.3121
"Computer Programming, Intro to Human Computer Interaction","Debugging & Execution, Control Structures, Data Structures, HCI Principles & Guidelines, User Research & Behavioral Mapping, Prototyping & UI Tooling","Console Debugging Techniques, Iteration Patterns, Linear/Binary Searching, Basic Sorting Algorithms, System Prototype Proposal, HCI Principles & Paradigms","Wed|13:00-15:00, Thu|15:00-17:00, Mon|09:00-11:00",3,1,Instructor,"Introduction to Computing, Intro to Human Computer Interaction","Computer Networks Basics, Digital Logic & Data Representation, Prototyping & UI Tooling, User Research & Behavioral Mapping, Interaction Design & Cognitive Models","Network Topologies, Boolean Logic Gates, Data Encoding (ASCII/Unicode), Wireframe Sketching, Figma UI Design, User Flow Diagrams","Mon|09:00-11:00, Tue|10:00-12:00, Wed|13:00-15:00",14,10,4,4,0.3365
IT Fundamentals,"Web Styling, Client-Side Scripting","Responsive Layouts, DOM Manipulation, JavaScript Syntax","Tue|10:00-12:00, Sat|09:00-11:00",5,1,Instructor,"IT Fundamentals, Computer Programming","Command Line & Web Infra, Client-Side Scripting, Data Structures, Control Structures","CLI Navigation, DOM Manipulation, Linear/Binary Searching, Loop Control, Conditional Logic","Mon|09:00-11:00, Sat|09:00-11:00",9,9,3,4,0.3707
Intro to Human Computer Interaction,"HCI Principles & Guidelines, Prototyping & UI Tooling, User Research & Behavioral Mapping","Guideline Categories of HCI, System Prototype Proposal, Wireframe Sketching, Design System & Components, User Research & Analysis","Thu|15:00-17:00, Fri|18:00-20:00",3,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction","Web Markup, Client-Side Scripting, Command Line & Web Infra, High-Fidelity Design & Documentation","Forms & Inputs, Media & Tables, Event Listeners, JavaScript Syntax, Domain Name System (DNS), Design Systems Documentation","Fri|18:00-20:00, Sat|09:00-11:00",9,9,4,4,0.3141
Computer Programming,"Control Structures, Debugging & Execution, Modular Programming","Iteration Patterns, Logic Troubleshooting, Syntax Errors, Function Definitions","Tue|10:00-12:00, Sat|09:00-11:00, Mon|09:00-11:00, Wed|13:00-15:00",3,1,Senior IT Student,"Computer Programming, IT Fundamentals","Data Structures, Debugging & Execution, Command Line & Web Infra, Web Markup, Web Styling","1D/2D Manipulation, Syntax Errors, Logic Troubleshooting, HTTP Request Methods, Domain Name System (DNS), Media & Tables","Mon|09:00-11:00, Sat|09:00-11:00, Tue|10:00-12:00",2,0,4,3,0.3985
Computer Programming,"Data Structures, Modular Programming, Debugging & Execution","1D/2D Manipulation, Linear/Binary Searching, Function Definitions, Parameters & Return Values, Logic Troubleshooting, Syntax Errors","Thu|15:00-17:00, Mon|09:00-11:00, Wed|13:00-15:00",5,1,Instructor,"Computer Programming, Introduction to Computing","Modular Programming, Debugging & Execution, Control Structures, Digital Logic & Data Representation, History & Hardware Evolution, Computer Networks Basics","Variable Scope & Lifetime, Function Definitions, Syntax Errors, Logic Troubleshooting, Conditional Logic, Loop Control","Fri|18:00-20:00, Mon|09:00-11:00",4,3,4,4,0.4395
"IT Fundamentals, Computer Programming","Web Styling, Data Structures, Debugging & Execution","CSS Selectors, Responsive Layouts, Array Creation, Console Debugging Techniques","Wed|13:00-15:00, Fri|18:00-20:00, Thu|15:00-17:00, Mon|09:00-11:00",4,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction","Web Markup, Interaction Design & Cognitive Models, User Research & Behavioral Mapping","Forms & Inputs, Human Information Processing, Interaction Design Frameworks, User Research & Analysis, User Flow Diagrams","Sat|09:00-11:00, Wed|13:00-15:00, Mon|09:00-11:00, Fri|18:00-20:00",5,5,4,4,0.2972
"Computer Programming, IT Fundamentals","Debugging & Execution, Modular Programming, Data Structures, Web Styling, Command Line & Web Infra, Web Markup","Logic Troubleshooting, Parameters & Return Values, Variable Scope & Lifetime, Basic Sorting Algorithms, Linear/Binary Searching, Responsive Layouts","Mon|09:00-11:00, Sat|09:00-11:00, Fri|18:00-20:00",5,1,Senior IT Student,"Introduction to Computing, IT Fundamentals","Computer Networks Basics, History & Hardware Evolution, Web Markup, Client-Side Scripting","Client-Server Architecture, Network Topologies, Processor Architecture, Computing Generations, Media & Tables, Event Listeners","Sat|09:00-11:00, Fri|18:00-20:00, Mon|09:00-11:00, Wed|13:00-15:00",3,1,5,4,0.3424
Computer Programming,Control Structures,"Loop Control, Conditional Logic","Thu|15:00-17:00, Sat|09:00-11:00",4,1,Instructor,"Computer Programming, IT Fundamentals","Modular Programming, Web Styling, Web Markup","Parameters & Return Values, Variable Scope & Lifetime, Box Model, Responsive Layouts, Forms & Inputs","Fri|18:00-20:00, Thu|15:00-17:00",3,3,5,4,0.3056
"Introduction to Computing, Intro to Human Computer Interaction","Digital Logic & Data Representation, Computer Networks Basics, High-Fidelity Design & Documentation","Binary/Octal/Hex Conversions, Data Encoding (ASCII/Unicode), OSI Model Layers, Network Topologies, Design Systems Documentation","Thu|15:00-17:00, Mon|09:00-11:00",3,1,Senior IT Student,"Introduction to Computing, Intro to Human Computer Interaction","Operating Systems & Architecture, Digital Logic & Data Representation, Prototyping & UI Tooling, Interaction Design & Cognitive Models, HCI Principles & Guidelines","File Systems & Permissions, Binary/Octal/Hex Conversions, Boolean Logic Gates, Design System & Components, Figma UI Design, Human Information Processing","Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",4,3,4,3,0.5863
Computer Programming,"Data Structures, Debugging & Execution, Modular Programming","Basic Sorting Algorithms, Console Debugging Techniques, Logic Troubleshooting, Parameters & Return Values","Fri|18:00-20:00, Thu|15:00-17:00, Tue|10:00-12:00",2,1,Instructor,Computer Programming,"Control Structures, Modular Programming","Loop Control, Parameters & Return Values, Function Definitions","Fri|18:00-20:00, Thu|15:00-17:00, Wed|13:00-15:00",4,3,5,4,0.5649
Computer Programming,Modular Programming,Parameters & Return Values,"Tue|10:00-12:00, Thu|15:00-17:00, Sat|09:00-11:00, Fri|18:00-20:00",5,1,Senior IT Student,Computer Programming,"Data Structures, Control Structures, Modular Programming","Basic Sorting Algorithms, Conditional Logic, Function Definitions","Fri|18:00-20:00, Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",4,3,4,3,0.5802
Computer Programming,"Debugging & Execution, Data Structures","Console Debugging Techniques, Array Creation, 1D/2D Manipulation","Wed|13:00-15:00, Sat|09:00-11:00",3,1,Instructor,"Computer Programming, IT Fundamentals","Data Structures, Client-Side Scripting","Array Creation, DOM Manipulation","Fri|18:00-20:00, Sat|09:00-11:00, Wed|13:00-15:00",5,4,5,4,0.5013
"IT Fundamentals, Computer Programming","Web Markup, Data Structures, Debugging & Execution, Modular Programming","Media & Tables, Linear/Binary Searching, Array Creation, Syntax Errors, Logic Troubleshooting, Function Definitions","Sat|09:00-11:00, Fri|18:00-20:00",2,1,Instructor,"Computer Programming, IT Fundamentals","Control Structures, Debugging & Execution, Web Styling, Web Markup, Client-Side Scripting","Conditional Logic, Iteration Patterns, Console Debugging Techniques, Responsive Layouts, Media & Tables, Forms & Inputs","Mon|09:00-11:00, Thu|15:00-17:00, Fri|18:00-20:00",10,3,5,4,0.5531
Computer Programming,"Modular Programming, Debugging & Execution, Control Structures","Function Definitions, Variable Scope & Lifetime, Console Debugging Techniques, Conditional Logic, Loop Control","Thu|15:00-17:00, Fri|18:00-20:00",4,1,Instructor,"Computer Programming, Introduction to Computing","Data Structures, Computer Networks Basics, Operating Systems & Architecture, Digital Logic & Data Representation","Array Creation, Network Topologies, OSI Model Layers, File Systems & Permissions, OS Fundamentals, Binary/Octal/Hex Conversions","Fri|18:00-20:00, Tue|10:00-12:00",3,2,4,4,0.3427
"Computer Programming, Intro to Human Computer Interaction","Data Structures, User Research & Behavioral Mapping","Array Creation, Customer Journey Mapping, User Research & Analysis","Fri|18:00-20:00, Wed|13:00-15:00, Tue|10:00-12:00, Thu|15:00-17:00",4,1,Instructor,"IT Fundamentals, Introduction to Computing","Client-Side Scripting, Web Markup, Web Styling, Digital Logic & Data Representation, Computer Networks Basics, History & Hardware Evolution","Event Listeners, Media & Tables, Flexbox & Grid, Responsive Layouts, Boolean Logic Gates, Binary/Octal/Hex Conversions","Sat|09:00-11:00, Thu|15:00-17:00",5,5,5,4,0.1072
"Introduction to Computing, Computer Programming","Computer Networks Basics, Debugging & Execution","Network Topologies, Console Debugging Techniques","Mon|09:00-11:00, Wed|13:00-15:00, Tue|10:00-12:00",3,1,Instructor,"Introduction to Computing, Computer Programming","History & Hardware Evolution, Debugging & Execution, Control Structures, Modular Programming","Computing Generations, Processor Architecture, Console Debugging Techniques, Conditional Logic, Function Definitions, Variable Scope & Lifetime","Mon|09:00-11:00, Sat|09:00-11:00, Wed|13:00-15:00",6,2,4,4,0.5734
Introduction to Computing,Operating Systems & Architecture,OS Fundamentals,"Thu|15:00-17:00, Fri|18:00-20:00",4,1,Senior IT Student,"Introduction to Computing, Computer Programming","Operating Systems & Architecture, Control Structures","OS Fundamentals, Loop Control, Conditional Logic","Fri|18:00-20:00, Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",4,3,4,3,0.5359
"Computer Programming, IT Fundamentals","Control Structures, Data Structures, Client-Side Scripting, Web Markup","Loop Control, Array Creation, JavaScript Syntax, DOM Manipulation, HTML5 Semantic Elements","Tue|10:00-12:00, Sat|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00",3,1,Instructor,"Computer Programming, IT Fundamentals","Modular Programming, Data Structures, Control Structures, Client-Side Scripting","Parameters & Return Values, Variable Scope & Lifetime, Array Creation, Basic Sorting Algorithms, Iteration Patterns, DOM Manipulation","Sat|09:00-11:00, Thu|15:00-17:00, Mon|09:00-11:00",12,8,3,4,0.7128
"Computer Programming, Introduction to Computing","Data Structures, Control Structures, Computer Networks Basics, Operating Systems & Architecture, Digital Logic & Data Representation","Linear/Binary Searching, 1D/2D Manipulation, Conditional Logic, Iteration Patterns, Client-Server Architecture, Process Management","Fri|18:00-20:00, Thu|15:00-17:00, Sat|09:00-11:00",4,1,Senior IT Student,"Computer Programming, Intro to Human Computer Interaction","Data Structures, Modular Programming, Control Structures, Prototyping & UI Tooling, Interaction Design & Cognitive Models, HCI Principles & Guidelines","Linear/Binary Searching, Function Definitions, Conditional Logic, Figma UI Design, Interaction Design Frameworks, Human Information Processing","Tue|10:00-12:00, Fri|18:00-20:00, Thu|15:00-17:00",2,0,3,3,0.3596
Computer Programming,"Control Structures, Modular Programming","Conditional Logic, Loop Control, Variable Scope & Lifetime","Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00, Sat|09:00-11:00",3,1,Senior IT Student,"Computer Programming, Introduction to Computing","Debugging & Execution, Control Structures, Modular Programming, History & Hardware Evolution, Computer Networks Basics","Console Debugging Techniques, Syntax Errors, Conditional Logic, Iteration Patterns, Parameters & Return Values, Function Definitions","Sat|09:00-11:00, Mon|09:00-11:00",1,1,3,3,0.4466
"IT Fundamentals, Intro to Human Computer Interaction","Client-Side Scripting, Command Line & Web Infra, Web Markup, High-Fidelity Design & Documentation, HCI Principles & Guidelines","JavaScript Syntax, DOM Manipulation, HTTP Request Methods, HTML5 Semantic Elements, Media & Tables, Design Systems Documentation","Sat|09:00-11:00, Fri|18:00-20:00",4,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction","Command Line & Web Infra, Web Styling, Web Markup, User Research & Behavioral Mapping","Domain Name System (DNS), Box Model, Responsive Layouts, HTML5 Semantic Elements, User Research & Analysis, User Flow Diagrams","Fri|18:00-20:00, Sat|09:00-11:00, Tue|10:00-12:00",6,6,4,4,0.62
"Computer Programming, IT Fundamentals","Control Structures, Web Markup","Conditional Logic, HTML5 Semantic Elements, Media & Tables","Mon|09:00-11:00, Wed|13:00-15:00, Sat|09:00-11:00",3,1,Instructor,"Computer Programming, IT Fundamentals","Modular Programming, Control Structures, Web Styling, Web Markup, Command Line & Web Infra","Parameters & Return Values, Iteration Patterns, Loop Control, CSS Selectors, Box Model, HTML5 Semantic Elements","Mon|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00",6,3,4,4,0.6399
IT Fundamentals,"Web Styling, Command Line & Web Infra","Flexbox & Grid, Responsive Layouts, CLI Navigation, Domain Name System (DNS)","Tue|10:00-12:00, Fri|18:00-20:00",4,1,Senior IT Student,"Introduction to Computing, Intro to Human Computer Interaction","Operating Systems & Architecture, Prototyping & UI Tooling","Process Management, Wireframe Sketching, Figma UI Design","Mon|09:00-11:00, Sat|09:00-11:00, Tue|10:00-12:00",3,2,3,3,0.1293
"IT Fundamentals, Computer Programming","Command Line & Web Infra, Client-Side Scripting, Debugging & Execution, Data Structures","CLI Navigation, JavaScript Syntax, DOM Manipulation, Logic Troubleshooting, Linear/Binary Searching, 1D/2D Manipulation","Sat|09:00-11:00, Thu|15:00-17:00",4,1,Instructor,"IT Fundamentals, Introduction to Computing","Web Styling, Client-Side Scripting, Web Markup, Computer Networks Basics, Operating Systems & Architecture","CSS Selectors, DOM Manipulation, JavaScript Syntax, HTML5 Semantic Elements, Media & Tables, OSI Model Layers","Thu|15:00-17:00, Fri|18:00-20:00, Sat|09:00-11:00",4,2,3,4,0.3847
"Intro to Human Computer Interaction, Introduction to Computing","User Research & Behavioral Mapping, HCI Principles & Guidelines, Computer Networks Basics, History & Hardware Evolution, Digital Logic & Data Representation","Customer Journey Mapping, User Flow Diagrams, System Prototype Proposal, Network Topologies, Client-Server Architecture, Computing Generations","Tue|10:00-12:00, Wed|13:00-15:00, Mon|09:00-11:00, Fri|18:00-20:00",4,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","Interaction Design & Cognitive Models, Operating Systems & Architecture, Computer Networks Basics","Human Information Processing, OS Fundamentals, Network Topologies","Sat|09:00-11:00, Thu|15:00-17:00, Fri|18:00-20:00",9,3,5,4,0.5242
"Computer Programming, Introduction to Computing","Debugging & Execution, Operating Systems & Architecture","Logic Troubleshooting, Syntax Errors, Process Management, File Systems & Permissions","Sat|09:00-11:00, Tue|10:00-12:00, Thu|15:00-17:00, Fri|18:00-20:00",5,1,Instructor,"Computer Programming, Introduction to Computing","Data Structures, Debugging & Execution, Modular Programming, History & Hardware Evolution, Digital Logic & Data Representation","1D/2D Manipulation, Syntax Errors, Logic Troubleshooting, Function Definitions, Parameters & Return Values, Memory & Storage Types","Sat|09:00-11:00, Fri|18:00-20:00, Mon|09:00-11:00",6,3,3,4,0.5635
